Files	Файлы	Files
Open	Открыть	Open
Import File	Загрузить файл	Import file
Delete File	Удалить файл	Delete file
Pick Excel File	Выберите Excel файл:	Pick an Excel file:
Select File	Выбрать Файл	Select File
Browse	Просмотреть	Browse
Module Browser	Просмотр модуля	Module Browser
Study	Изучать	Study
Menu	Меню	Menu
Helper Bot	Бот-Помощник	Helper Bot
Help	Помощь	Help
Send	Отправить	Send
Symbol	Термин	Term
Reading	Чтение	Reading
Meaning	Значение	Meaning
-	-	-
Profile	Профиль	Profile
Name	Название	Name
Stats	Статистика	Stats
ModuleForStats	Модуль	Module
FileName	Файл	File
Profile Picture	Изображение Профиля	Profile Picture
Change	Изменить	Change
EnterNewName	Введите новое имя пользователя	Enter new username
-	-	-
Settings	Настройки	Settings
Theme	Тема	Theme
Dark	Темная	Dark
Light	Светлая	Light
Language	Язык	Language
RU	Русский	Russian
EN	Английский	English
NeedReload	(потребуется перезапуск)	(requires restart)
-	-	-
Greeting1	Привет! Я твой бот-помощник для изучения слов.	Hello! I am your helper bot for studying vocabulary.
Greeting2	Чтобы начать обучение, выбери модуль в разделе	To start, choose a module in the
GreetingFiles	«Файлы»	“Files”
Greeting3	 и нажми 	  section and click 
GreetingStudy	«Изучать».	“Study”.
-	-	-
VocabOrKanji1	Отлично! Сегодня рассмотрим модуль	Great, today we will look at
VocabOrKanji2	Ты хочешь изучить	Do you want to study
VocabOrKanjiVoc	лексику	vocabulary
VocabOrKanji3	 или 	 or 
VocabOrKanjiKan	кандзи?	kanji?
-	-	-
StartVocabChooseMode	Хорошо, будем изучать 	OK, we will be studying 
StartVocabChooseModeVoc	лексику.	words.
StartVocabChooseMode2	На чем хочешь сфокусироваться: на	Do you want to focus on
StartVocabChooseModeTerm	терминах	terms
StartVocabChooseMode3	, 	, 
StartVocabChooseModeRead	чтениях	readings
StartVocabChooseMode4	  или 	 or 
StartVocabChooseModeMean	значениях?	meanings?
-	-	-
StartKanjiChooseMode	Хорошо, будем изучать 	OK, we will be studying 
StartKanjiChooseModeKan	кандзи.	kanji.
StartKanjiChooseMode2	На чем хочешь сфокусироваться: на	Do you want to focus on
StartKanjiChooseModeTerm	терминах	terms
StartKanjiChooseMode3	, 	, 
StartKanjiChooseModeRead	чтениях	readings
StartKanjiChooseMode4	  или 	 or 
StartKanjiChooseModeMean	значениях?	meanings?
-	-	-
SelectTermAskBy1	Выбрана категория	Selected category 
SelectTermAskByCatTerm	термины	term
SelectTermAskBy2	. Как мне тебя	. Do you want me to ask you
SelectTermAskBy3	спрашивать, по	by 
SelectTermAskByRead	чтениям	reading
SelectTermAskBy4	 или 	 or by 
SelectTermAskByMean	значениям?	meaning?
-	-	-
SelectReadAskBy1	Выбрана категория	Selected category 
SelectReadAskByCatRead	чтения	reading
SelectReadAskBy2	. Как мне тебя	. Do you want me to ask you
SelectReadAskBy3	спрашивать, по 	by 
SelectReadAskByTerm	терминам	term
SelectReadAskBy4	 или 	 or by 
SelectReadAskByMean	значениям?	meaning?
-	-	-
SelectMeanAskBy1	Выбрана категория	Selected category 
SelectMeanAskByCatMean	значения	meaning
SelectMeanAskBy2	. Как мне тебя	. Do you want me to ask you
SelectMeanAskBy3	спрашивать, по 	by 
SelectMeanAskByTerm	терминам	term
SelectMeanAskBy4	 или 	 or by 
SelectMeanAskByRead	чтениям?	reading?
-	-	-
WillAsk1	Понял, буду спрашивать тебя категорию 	Got it, I will be asking you the 
WillAsk2	по 	 category by 
ShouldStart	Начнем?	Should we start?
-	-	-
Given	Дано 	Given 
Answer	, напиши 	, what is the 
AnswerTerm	термин.	term?
AnswerRead	чтение.	reading?
AnswerMean	значение.	meaning?
-	-	-
CorrectAnswer	Супер, ответ верный!	Great, this is the correct answer!
WrongAnswer1	К сожалению, ответ неверный.	Unfortunately, this is wrong.
WrongAnswer2	Правильный ответ:	The correct answer is:
-	-	-
DoNotUnderstand	Извини, не понимаю твой ответ.	Sorry, I don't understand you.
-	-	-
ResetStudy1	Сессия остановлена. Теперь ты можешь выбрать	The session has been stopped. Now you can choose
ResetStudy2	другой модуль для изучения.	another module to study.
-	-	-
NoMistakes1	Отлично! В этой сессии у тебя не было ни одной ошибки!	Great! You had no mistakes in this session!
NoMistakes2	Теперь ты можешь выбрать другой модуль для изучения.	Now you can choose another module to study.
-	-	-
SomeMistakes1	К сожалению, у тебя было несколько ошибок.	Unfortunately, there were some mistakes.
SomeMistakes2	Начнем работать над ними?	Should we start working on them?
-	-	-
AboutMain	О Garibenka:	About Garibenka:
AboutProgramming	Разработка: Анупыльд Дмитрий	Developed by: Dmitry Anupyld
AboutIcons	UI иконки: SYD	UI Icons by: SYD
AboutTables	Встроенные модули: Любимая Екатерина	Pre-made modules by: Ekaterina Lyubimaya
-	-	-
HelpOption	Справка	Help