Лексика			Иероглифы			 
						
漢字圈	かんじけん	места использования кандзи	欠	ケツ、ケン、かける、かく、かかす、かけ、あくび	недоставать, отломаться, нуждаться, зевота	
象形文字と表意文字	しょうけいもじとひょういもじ	пиктограммы и идеографические иероглифы	薄	ハク、うすい、うすめる、うすまる	тонкий, делать тоньше, истончаться	
発達する	はったつする	развиваться	選	セン、えらぶ、える、よる、すぐる	выбирать	
経済が急成長したアジア地域	けいざいがきゅうせいちょうしたアジアちいき	Азия, испытавшая быстрый экономический рост	交	コウ、かわす、かわる、かわり、まぜる、まざる、まじる、まじえる	обмениваться, смешивать, быть смешанным	
世界がインターネットで結ばれる時代	せかいがインターネットでむすばれるじだい	эпоха, когда мир связан интернетом	種	シュ、たね、くさ	семя	
簡単に処理する	かんたんにしょりする	легко обрабатывать	互	ゴ、たがい(に/の)、かたみに	взаимно	
相互理解と文化交流	そうごりかいとぶんかこうりゅう	взаимопонимание и культурный обмен	圏	ケン	сфера	
常用漢字表	じょうようかんじひょう	набор общеупотребимых иероглифов	和	ワ、わする、やわらげる、やわらぐ、なごむ、なごやか	мир, гармонировать, смягчать, смягчаться, спокойный	
一般社会生活	いっぱんしゃかいせいかつ	общественная жизнь	形	ケイ、ギョウ、かたち、かた、なり	форма, вид, образ	
野放しにする	のばなしにする	-	数	スウ、かず、かぞえる	число, количество, считать	
気持ちが和む	きもちがなごむ	чувствовать облегчение	揺	ヨウ、ゆれる、ゆらぐ、ゆらめく、ゆるぐ、ゆる、ゆるがす、ゆるぎない、ゆらす、ゆえ	качаться, колебаться, трястись	
都市化、情報化、ハイテク化が進む	としか、じょうほうか、ハイテク化がすすむ	урбанизация, цифровизация, развитие высоких технологий	改	カイ、あらためて、あらためる、あらたまる	изменять, обновлять, снова, меняться	
人間関係は希薄になる	にんげんかんけいはきはくになる	связь между людьми ослабевает	常	ジョウ、つね、つねならば、つねならぬ	обычный, обычно, необычный	
見知らぬ人への思いやり	みしらぬひとへの思いやり	эмпатия к незнакомцам	及	キュウ、およぶ、およぼす、およびに	достигать, оказывать влияние, а также	
日系2世3世の人	にっけい2せい3せいのひと	японцы во 2-м и 3-м поколении	復	フク	возвращаться	
人込みの中を歩く	ひとごみのなかをあるく	идти в толпе	列	レツ、れっする、つらなる	шеренга, присутствовать, стоять в ряд	
共感を持つ	きょうかんをもつ	проявлять сострадание				
列をなす	れつをなす	встать в линию, очередь				
音楽に合わせて踊る	おんがくにあわせておどる	танцевать под музыку				